traffic_control_type,visibility,light,road_surface_condition,classification_of_accident,injury,driver_condition,speeding,aggressive_and_disturbed_driving,alcohol,disability
No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,None,None,None,None,None
No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,None,None,None,None,None
No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Fatal,Fatal,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Fatal,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Fatal,None,Normal,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Inattentive,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Normal,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,Inattentive,Yes,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,Unknown,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minimal,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,"Ability Impaired, Alcohol",None,None,Yes,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,None,Yes,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,None,None,None,Yes,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,Yes,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Unknown,Yes,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Fatal,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Fatal,Fatal,None,None,None,None,None
No Control,Clear,Daylight,Dry,Fatal,Fatal,None,None,None,None,None
Traffic Signal,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,Major,Inattentive,None,None,None,None
Traffic Signal,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Rain,"Dark, artificial",Wet,Fatal,None,Normal,None,None,None,None
No Control,Rain,"Dark, artificial",Wet,Fatal,None,Normal,None,None,None,None
No Control,Rain,"Dark, artificial",Wet,Fatal,Fatal,None,None,None,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
Stop Sign,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,"Ability Impaired, Alcohol Over .08",Yes,Yes,Yes,None
Stop Sign,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minimal,Normal,Yes,Yes,Yes,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,Unknown,None,None,None,None
No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Snow,Dark,Wet,Non-Fatal Injury,Minor,Unknown,Yes,Yes,None,None
No Control,Snow,Dark,Wet,Non-Fatal Injury,Minor,Normal,Yes,Yes,None,None
No Control,Snow,Dark,Wet,Non-Fatal Injury,Minor,Normal,Yes,Yes,None,None
No Control,Snow,Dark,Wet,Non-Fatal Injury,Minor,None,Yes,Yes,None,None
No Control,Snow,Dark,Wet,Non-Fatal Injury,Major,None,Yes,Yes,None,None
Traffic Signal,Snow,Dark,Wet,Fatal,None,Had Been Drinking,Yes,Yes,None,None
Traffic Signal,Snow,Dark,Wet,Fatal,Fatal,None,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,Major,Inattentive,None,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,Fatal,None,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,Fatal,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Minor,Inattentive,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Minor,Normal,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Wet,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Wet,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Fatal,None,Inattentive,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Fatal,Fatal,None,None,Yes,None,None
Stop Sign,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Stop Sign,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,None,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Fatal,Fatal,Inattentive,Yes,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Fatal,None,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Pedestrian Crossover,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Unknown,None,Yes,None,None
Pedestrian Crossover,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Inattentive,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
Streetcar (Stop for),Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,Unknown,None,Yes,None,None
Streetcar (Stop for),Rain,"Dark, artificial",Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,Major,Unknown,None,None,None,None
No Control,Clear,Daylight,Dry,Fatal,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Fatal,Fatal,None,None,None,None,None
Traffic Signal,Clear,Dusk,Wet,Non-Fatal Injury,None,Unknown,None,None,None,None
Traffic Signal,Clear,Dusk,Wet,Non-Fatal Injury,Major,Unknown,None,None,None,None
Traffic Signal,Clear,Dusk,Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Stop Sign,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Stop Sign,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,None,None,None,None,None
Stop Sign,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,Unknown,None,Yes,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Controller,Rain,Daylight,Wet,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Controller,Rain,Daylight,Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,None,None,None,None,None
No Control,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,"Dark, artificial",Wet,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Minimal,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Fatal,None,Unknown,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Fatal,Fatal,None,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Fatal,None,Normal,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Fatal,None,None,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Fatal,None,None,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Fatal,None,None,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Fatal,Fatal,None,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Minimal,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Wet,Fatal,Fatal,Unknown,Yes,Yes,None,None
Pedestrian Crossover,Clear,Daylight,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
Pedestrian Crossover,Clear,Daylight,Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Major,Unknown,Yes,Yes,None,None
No Control,Clear,"Dark, artificial",Wet,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Snow,"Dark, artificial",Loose Snow,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Snow,"Dark, artificial",Loose Snow,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Snow,"Dark, artificial",Loose Snow,Non-Fatal Injury,Minor,None,None,Yes,None,None
Traffic Signal,Strong wind,Dark,Slush,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Strong wind,Dark,Slush,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Wet,Fatal,Fatal,Unknown,None,Yes,None,None
Traffic Signal,Clear,Daylight,Wet,Fatal,None,Unknown,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Wet,Fatal,None,Inattentive,None,None,None,None
Traffic Signal,Clear,Daylight,Wet,Fatal,None,None,None,None,None,None
Traffic Signal,Clear,Daylight,Wet,Fatal,Fatal,None,None,None,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,None,Unknown,None,Yes,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Wet,Non-Fatal Injury,Minor,Unknown,None,None,None,None
No Control,Clear,Daylight,Wet,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Inattentive,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Fatal,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Fatal,Fatal,None,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,Inattentive,Yes,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Inattentive,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,Inattentive,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Inattentive,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Unknown,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Unknown,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minimal,None,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minimal,None,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minimal,None,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minimal,None,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minimal,None,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Unknown,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,Inattentive,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Medical or Physical Disability,None,None,None,Yes
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,Yes
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Normal,None,Yes,None,None
No Control,Snow,"Dark, artificial",Wet,Non-Fatal Injury,None,None,None,None,None,None
No Control,Snow,"Dark, artificial",Wet,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Fatal,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Fatal,Fatal,None,None,None,None,None
Stop Sign,Clear,"Dark, artificial",Wet,Fatal,Minor,"Ability Impaired, Alcohol",None,None,Yes,None
Stop Sign,Clear,"Dark, artificial",Wet,Fatal,Minor,None,None,None,Yes,None
Stop Sign,Clear,"Dark, artificial",Wet,Fatal,Fatal,None,None,None,Yes,None
No Control,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Major,Inattentive,None,None,None,None
No Control,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Minimal,Normal,None,None,None,None
Pedestrian Crossover,Clear,Daylight,Dry,Fatal,Fatal,Unknown,Yes,Yes,None,None
Pedestrian Crossover,Clear,Daylight,Dry,Fatal,Minimal,Normal,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
No Control,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,Major,Unknown,None,None,None,None
Stop Sign,Clear,Daylight,Wet,Fatal,Minimal,Inattentive,None,Yes,None,None
Stop Sign,Clear,Daylight,Wet,Fatal,Fatal,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Fatal,Fatal,None,None,None,None,None
No Control,Clear,Daylight,Dry,Fatal,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Fatal,None,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,None,None,Yes,None,None
No Control,Clear,Dark,Dry,Fatal,None,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,Fatal,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,"Ability Impaired, Alcohol",None,None,Yes,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,Yes,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,Yes,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minor,Inattentive,Yes,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
Traffic Signal,Freezing Rain,Daylight,Wet,Non-Fatal Injury,None,Unknown,None,Yes,None,None
Traffic Signal,Freezing Rain,Daylight,Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,Fatigue,Yes,Yes,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Minor,Normal,Yes,Yes,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Major,None,Yes,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Dusk,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Dusk,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Snow,Daylight,Loose Snow,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Snow,Daylight,Loose Snow,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Snow,Daylight,Loose Snow,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Unknown,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
